brand,name,type,country,ingredients,afterUse
The Ordinary,Retinol 1% in Squalane,Facial Treatment,Canada,"[Squalane,Caprylic/Capric Triglyceride,Simmondsia Chinensis Seed Oil,Retinol,Solanum Lycopersicum Fruit Extract,Rosmarinus Officinalis Leaf Extract,Hydroxymethoxyphenyl Decanone,BHA]","[Good For Oily Skin,Skin Texture,Reduces Large Pores,Anti-Aging,Dark Spots,Scar Healing,Acne Fighting,Brightening,Drying,Irritating]"
Tia’m,AC Fighting Spot RX Cream,Facial Treatment,South Korea,"[Water,Niacinamide,Butylene Glycol,Zinc Oxide,Helianthus Annuus Seed Oil,Glycerin,Dimethicone,Cetearyl Alcohol,Elaeis Guineensis Oil,1,2-Hexanediol,Cetearyl Olivate,Polysorbate 60,Elaeis Guineensis Kernel Oil,Sorbitan Olivate,Betaine,Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer,Xanthan Gum,Sponge,Melaleuca Alternifolia Leaf Oil,Asiaticoside,Madecassic Acid,Asiatic Acid,Zinc PCA,Limonene]","[Good For Oily Skin,Redness Reducing,Acne Fighting,Brightening,Acne Trigger]"
Dr.Ceuracle,Tea Tree Purifine 70 Spot,Facial Treatment,South Korea,"[Melaleuca Alternifolia Leaf Extract,Glycerin,Cyclopentasiloxane,Isodecyl Neopentanoate,Hydrogenated Polyisobutene,Dimethicone,Ammonium Acryloyldimethyltaurate/Vp Copolymer,Water,Dimethicone/Vinyl Dimethicone Crosspolymer,Algae Extract,Eclipta Prostrata Leaf Extract,Piper Methysticum Leaf/Root/Stem Extract,Citrus Aurantium Bergamia Fruit Oil,Cymbopogon Schoenanthus Oil,Melia Azadirachta Flower Extract,Melia Azadirachta Leaf Extract,Ocimum Sanctum Leaf Extract,Curcuma Longa Root Extract,Malt Extract,Coccinia Indica Fruit Extract,Corallina Officinalis Extract,Solanum Melongena Fruit Extract,Aloe Barbadensis Flower Extract,Ulmus Davidiana Root Extract,Amaranthus Caudatus Seed Extract,Avena Sativa Kernel Extract,Pteris Multifida Extract,Cynara Scolymus Leaf Extract,Cardiospermum Halicacabum Flower/Leaf/Vine Extract,Rosmarinus Officinalis Leaf Extract,Ribes Nigrum Seed Oil,Hydrogenated Lecithin,Citrus Aurantium Dulcis Oil,Melaleuca Alternifolia Leaf Oil,Citronellal,Geranium Maculatum Oil,Helianthus Annuus Seed Oil,Panthenol,Isostearyl Alcohol,Polyquaternium-51,Cetearyl Olivate,Sorbitan Olivate,Octyldodecanol,Butylene Glycol Cocoate,Butylene Glycol,Methylpropanediol,Fructooligosaccharides,Beta-Glucan,Ethylcellulose,Canola Oil Unsaponifiables,Hydrolyzed Hyaluronic Acid,Tocopherol,1,2-Hexanediol]","[Good For Oily Skin,Reduces Irritation,Brightening,Drying]"
Pacifica,Retinoid + Bakuchiol 3% in Seawater,Facial Treatment,United States,"[Water,Sea Water,Propanediol,Caprylic/Capric Triglyceride,Hydroxypinacolone Retinoate,Bakuchiol,Glycerin,Picea Abies Extract,Silica,Xanthan Gum,Sclerotium Gum,Lecithin,Pullulan,Sodium Phytate,Caprylyl Glycol,Alcohol Denat.,Dimethyl Isosorbide,Parfum]","[Good For Oily Skin,Skin Texture,Reduces Large Pores,Anti-Aging,Dark Spots,Scar Healing,Acne Fighting,Brightening,Drying,Irritating,Eczema]"
bondi sands,Light'n Dreamy Gel Moisturiser,General Moisturizer,Australia,"[Water,Propanediol,Glycerin,C13-16 Isoparaffin,Phenoxyethanol,Carbomer,Tetrasodium Glutamate Diacetate,Ethylhexylglycerin,Sodium Hydroxide,Silica,Ethyl Acetate,Cyclohexane,Tilia Cordata Leaf Extract,Citrullus Lanatus Fruit Juice,Aloe Barbadensis Leaf Juice Powder,Sodium Hyaluronate,Sodium Benzoate,Citric Acid,Potassium Sorbate]","[May Worsen Oily Skin,Eczema]"
Needly,pH Balancing Essence Lotion,General Moisturizer,South Korea,"[Water,Propanediol,Glycerin,1,2-Hexanediol,Cetyl Ethylhexanoate,Niacinamide,Vinyl Dimethicone,Butylene Glycol,Panthenol,Carbomer,Cetearyl Olivate,Palmitic Acid,Stearic Acid,Sorbitan Olivate,Camellia Sinensis Leaf Extract,Biosaccharide Gum-1,Albatrellus Confluens Extract,Saccharomyces Ferment Filtrate,Ethylhexylglycerin,Rosmarinus Officinalis Leaf Extract,Adenosine,Centella Asiatica Extract,Hydroxyethylcellulose,Disodium EDTA,Houttuynia Cordata Extract,Theobroma Cacao Seed Extract,Artemisia Vulgaris Oil,Hyaluronic Acid,Hydrolyzed Hyaluronic Acid,Gossypium Herbaceum Extract,Tromethamine,Myristic Acid,Sodium Hyaluronate,Dextrin]","[Good For Oily Skin,Redness Reducing,Reduces Irritation,Skin Texture,Anti-Aging,Scar Healing,Acne Fighting,Brightening,May Worsen Oily Skin,Irritating]"
Acure,Resurfacing Dewy All Day Moisturizer,General Moisturizer,United States,"[Water,Glyceryl Stearate Citrate,Cetearyl Alcohol,Argania Spinosa Kernel Oil,Carthamus Tinctorius Seed Oil,Cetyl Alcohol,Glycerin,Cocoglycerides,Helianthus Annuus Seed Oil,Glyceryl Laurate,Phenethyl Alcohol,Glyceryl Caprylate,Ethylhexylglycerin,Tocopherol,Lactic Acid,Glycolic Acid,Aloe Barbadensis Leaf Juice,Aletris Farinosa Root Extract,Quartz,Cannabis Sativa Seed Oil,Euterpe Oleracea Fruit Extract,Rubus Fruticosus Fruit Extract,Punica Granatum Extract,Rosa Canina Fruit Extract,Calendula Officinalis Flower Extract,Chamomilla Recutita Flower Extract,Aspalathus Linearis Leaf Extract,Caprylic/Capric Triglyceride,Cetyl Palmitate,Sorbitan Stearate,Polysorbate 80,Hydrogenated Lecithin,Palmitoyl Tetrapeptide-10]","[Good For Oily Skin,Reduces Irritation,Skin Texture,Reduces Large Pores,Anti-Aging,Dark Spots,Scar Healing,Brightening,Drying,Acne Trigger,Irritating,Rosacea,Eczema]"
Fourth Ray Beauty,Good Mood Gel Moisturizer,General Moisturizer,United States,"[Water,Glycerin,Dimethicone,Rosa Damascena Flower Water,Ppg-12/Smdi Copolymer,Caprylic/Capric Triglyceride,Arginine,Citrus Medica Vulgaris Fruit Extract,Cucumis Melo Fruit Extract,Sodium Hyaluronate,Althaea Officinalis Root Extract,Pyrus Malus Fruit Extract,Camellia Sinensis Leaf Extract,Prunus Armeniaca Fruit Extract,Mangifera Indica Fruit Extract,Calendula Officinalis Flower Extract,Cucumis Sativus Fruit Extract,Jasminum Officinale Flower/Leaf Extract,Prunus Amygdalus Dulcis Fruit Extract,Citrus Paradisi Fruit Extract,Citrus Grandis Peel Extract,Citrus Tangerina Peel Extract,Citrus Clementina Fruit Extract,Citrus Aurantium Dulcis Peel Extract,Citrus Limon Peel Extract,Citrus Aurantifolia Peel Extract,Coffea Arabica Leaf/Seed Extract,Glycine Soja Extract,Mentha Viridis Extract,Cananga Odorata Flower Extract,Juniperus Virginiana Wood Extract,Salicornia Herbacea Extract,Quartz,Tocopherol,Carbomer,Dimethicone/Vinyl Dimethicone Crosspolymer,Trisodium EDTA,Ethylhexylglycerin,Caprylyl Glycol,Hexylene Glycol,Potassium Sorbate,Citric Acid,Decyl Glucoside,Lauryl Glucoside,Phenoxyethanol,Ci 14700]","[Reduces Irritation,Anti-Aging,Scar Healing,Brightening,Irritating]"
Glytone,Rejuvenating Cream 15,General Moisturizer,United States,"[Water,Glycolic Acid,Cetearyl Alcohol,Dimethicone,Trisiloxane,Sodium Hydroxide,Isostearyl Palmitate,Glyceryl Stearate Se,Magnesium Aluminum Silicate,Bis-Hydroxyethoxypropyl Dimethicone,Prunus Amygdalus Dulcis Oil,Glycerin,Hydrogenated Vegetable Oil,C13-14 Isoparaffin,Cetearyl Glucoside,Ceteth-10,Cetyl Hydroxyethylcellulose,Cocos Nucifera Oil,Ethylhexylglycerin,Gardenia Taitensis Flower,Laureth-4,Laureth-7,Methylparaben,Phenoxyethanol,Polyacrylamide,Polyacrylate-13,Polyisobutene,Polysorbate 20,Propylene Glycol,Propylparaben,Pvm/Ma Copolymer,Quartz,Silica,Sodium Polyacrylate,Titanium Dioxide]","[Good For Oily Skin,Skin Texture,Reduces Large Pores,Anti-Aging,Dark Spots,Brightening,Drying,May Worsen Oily Skin,Acne Trigger,Irritating,Rosacea,Eczema]"
Dermaceutic Laboratoire,K Ceutic Post-treatment Cream,General Moisturizer,France,"[Water,Isononyl Isononanoate,Ethylhexyl Methoxycinnamate,Beeswax,Titanium Dioxide,Glycerin,Homosalate,Butyl Methoxydibenzoylmethane,Octyldodecanol,Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine,Butylene Glycol,Butyrospermum Parkii Butter,Oleic Acid,Cyclopentasiloxane,Bisabolol,Octyldodecyl Xyloside,Peg-30 Dipolyhydroxystearate,Tocopherol,Zinc Stearate,Silica,Phenethyl Alcohol,Magnesium Sulfate,Ammonium Acryloyldimethyltaurate/Vp Copolymer,Alpha-Glucan Oligosaccharide,Methylpropanediol,Sclerotium Gum,Tocopheryl Acetate,Oxidized Corn Oil,Glyceryl Caprylate,Citric Acid,Dimethiconol,Sodium Ascorbyl Phosphate,Sodium Benzoate,Dimethicone,Pseudoalteromonas Ferment Extract,Xanthan Gum,Glyceryl Undecylenate,Glycine Soja Seed Extract,Ci 19140,Dipotassium Glycyrrhizate,Ethylhexylglycerin,T-Butyl Alcohol,Ci 14700,Maltodextrin,Hyaluronic Acid,Sodium Sulfate,Silanetriol,BHA,Ci 17200,Glucose,Salicylic Acid,Ci 42090,Sodium Hydroxide,Chondrus Crispus Extract]","[Good For Oily Skin,Redness Reducing,Reduces Irritation,Skin Texture,Reduces Large Pores,Anti-Aging,Dark Spots,Scar Healing,Acne Fighting,Brightening,Drying,May Worsen Oily Skin,Acne Trigger,Irritating,Rosacea,Eczema]"
Walgreens,Healing Ointment,General Moisturizer,United States,"[Paraffin,Ozokerite,Water,Dimethicone,Hydrolyzed Hyaluronic Acid,Sodium Hydroxide,Ceramide NP,Ceramide AP,Ceramide EOP,Tocopheryl Acetate,Phytosphingosine,Cholesterol,Sodium Lauroyl Lactylate,Carbomer,Panthenol,Proline,Xanthan Gum]","[Redness Reducing,Reduces Irritation,Anti-Aging,Brightening,May Worsen Oily Skin]"
Mad About Skin,All Day Protection Antioxidant Cream,General Moisturizer,United Kingdom,"[Water,Butylene Glycol,C12-15 Alkyl Benzoate,Glycerin,Cetearyl Alcohol,Ceteth-20,Glyceryl Stearate,Sodium Polyacrylate,Resveratrol,Pinus Pinaster Bark Extract,Ferulic Acid,Laureth-7,Tocopheryl Acetate,Ubiquinone,Crambe Abyssinica Seed Oil,Camellia Sinensis Leaf Extract,Morus Alba Fruit Extract,Pyrus Malus Fruit Extract,Fragaria Ananassa Fruit Extract,Niacinamide,Vitis Vinifera Seed Extract,Sorbitan Oleate,Dehydroacetic Acid,Benzoic Acid,Sorbic Acid,Benzyl Alcohol,Phenoxyethanol]","[Good For Oily Skin,Redness Reducing,Acne Fighting,Brightening,Acne Trigger,Eczema]"
Mizon,S-Venom Wrinkle Tox Cream,General Moisturizer,South Korea,"[Water,Glycerin,Butylene Glycol,Cyclopentasiloxane,Butyrospermum Parkii Butter,Octyldodecyl Myristate,Caprylic/Capric Triglyceride,Hydrogenated Polydecene,Glyceryl Stearate,Cetearyl Alcohol,Polysorbate 20,1,2-Hexanediol,Olea Europaea Fruit Oil,Helianthus Annuus Seed Oil,Cetearyl Olivate,Cyclohexasiloxane,Sorbitan Olivate,Peg-100 Stearate,Mangifera Indica Seed Butter,Dimethicone/Vinyl Dimethicone Crosspolymer,Acrylates/C10-30 Alkyl Acrylate Crosspolymer,Tromethamine,Limnanthes Alba Seed Oil,Ethylhexylglycerin,Adenosine,Parfum,Disodium EDTA,Sodium Ascorbyl Phosphate,Allantoin,Tocopheryl Acetate,Panthenol,Dipeptide Diaminobutyroyl Benzylamide Diacetate,Sodium Hyaluronate,Beta-Glucan,Phenoxyethanol,Tocopherol,Copper Tripeptide-1,Tbhq,Palmitoyl Tripeptide-5]","[Redness Reducing,Reduces Irritation,Skin Texture,Anti-Aging,Dark Spots,Brightening,Acne Trigger]"
One. Two. Free!,Hydra Power Gel-Cream,General Moisturizer,Germany,"[Water,Ethylhexyl Stearate,Pentylene Glycol,Glycerin,Candelilla/Jojoba/Rice Bran Polyglyceryl-3 Esters,Glyceryl Stearate,Cetearyl Alcohol,Sodium Stearoyl Lactylate,Butylene Glycol,Betaine,Scenedesmus Deserticola Ferment Extract,Lactobacillus/Aspergillus/Prunus Mume Fruit Ferment Filtrate,Shorea Stenoptera Seed Butter,Lactobacillus/Pear Juice Ferment Filtrate,Panthenol,Citric Acid,Hypericum Perforatum Flower/Leaf/Stem Extract,Hydrolyzed Hyaluronic Acid,Tocopherol,Helianthus Annuus Seed Oil,Alkanna Tinctoria Root Extract,Parfum,Linalool,Geraniol]","[Reduces Irritation,Reduces Large Pores,Anti-Aging,Scar Healing,Brightening,Drying,Acne Trigger,Irritating]"
Venn,Vitamin B Activated All-In-One Concentrate,General Moisturizer,United States,"[Camellia Sinensis Leaf Water,Glycerin,Water,Propanediol,Hippophae Rhamnoides Extract,Caprylic/Capric Triglyceride,Coco-Caprylate/Caprate,Hydrogenated Lecithin,Cetearyl Alcohol,Helianthus Annuus Seed Oil,1,2-Hexanediol,Glyceryl Stearate,Niacinamide,Stearic Acid,Lupinus Albus Seed Oil,Nicotinoyl Dipeptide-22,Pinus Pinaster Bark Extract,Scutellaria Baicalensis Root Extract,Paeonia Suffruticosa Root Extract,C14-28 Alkyl Acid,Panthenol,Sodium Olivoyl Glutamate,Triticum Vulgare Germ Oil Unsaponifiables,Behenyl Alcohol,Stearyl Alcohol,Arginine,Fucose,Acmella Oleracea Extract,Evodia Rutaecarpa Fruit Extract,Spilanthes Acmella Flower Extract,Carnitine,Ellagic Acid,Biotin,Butyrospermum Parkii Butter,Dipotassium Glycyrrhizate,Hydrogenated Olive Oil Unsaponifiables,Kigelia Africana Fruit Extract,Quillaja Saponaria Bark Extract,Pistacia Lentiscus Gum,Sh-Polypeptide-64,Tocopherol,Glutathione,Carnosine,Glycine,Glutamine,Isoleucine,Leucine,Methionine,Phenylalanine,Serine,Threonine,Tryptophan,Valine,Folic Acid,Riboflavin,Thiamine Hcl,Inositol,Calcium Chloride,Magnesium Sulfate,Potassium Chloride,Sodium Chloride,Sodium Pyruvate,Carbomer,Xanthan Gum,Adenosine,Cyclodextrin]","[Good For Oily Skin,Redness Reducing,Reduces Irritation,Anti-Aging,Scar Healing,Acne Fighting,Brightening,May Worsen Oily Skin,Acne Trigger,Irritating]"
Pacifica,Vegan Ceramide Barrier Face Lotion,General Moisturizer,United States,"[Water,Helianthus Annuus Seed Oil,Aloe Barbadensis Leaf Juice,Glycerin,Ethylhexyl Palmitate,Glyceryl Stearate,Stearic Acid,Glyceryl Laurate,Ceramide NP,Ceramide AP,Ceramide EOP,Phytosphingosine,Cholesterol,Panthenol,Butyrospermum Parkii Oil,Tocopheryl Acetate,Calendula Officinalis Flower,Chamomilla Recutita Flower Extract,Althaea Officinalis Flower Extract,Sodium Hyaluronate,Cocos Nucifera Fruit Juice,Beta-Glucan,Allantoin,Theobroma Cacao Seed Butter,Xanthan Gum,Sodium Lauroyl Lactylate,Carbomer,Diheptyl Succinate,Capryloyl Glycerin/Sebacic Acid Copolymer,Phenoxyethanol,Ethylhexylglycerin]","[Redness Reducing,Reduces Irritation,Anti-Aging,Brightening,May Worsen Oily Skin,Acne Trigger]"
Dr. Brandt Skincare,Do Not Age with Dr. Brandt Time Defying Cream,General Moisturizer,United States,"[Water,Caprylic Acid,Cetyl Babassuate,Dibutyl Adipate,Macadamia Ternifolia Seed Oil,Butyrospermum Parkii Butter,Glycerin,Cyclopentasiloxane,Glyceryl Stearate,Sodium Acrylates Copolymer,Cetearyl Alcohol,Stearic Acid,Sodium Cocoyl Glutamate,BHA,Disodium EDTA,Tocopherol,Phenoxyethanol,Caprylyl Glycol,Chlorphenesin,Alaria Esculenta Extract,Dextran,Trifluoroacetyl Tripeptide-2,Zinc Ricinoleate,Juniperus Virginiana Oil,Geranium Maculatum Oil,Lavandula Hybrida Oil,Pogostemon Cablin Leaf Oil,Vetiveria Zizanoides Root Oil,Linum Usitatissimum Seed Extract,Glucosyl Ceramide,Camellia Sinensis Leaf Extract,Vitis Vinifera Seed Extract,Vitis Vinifera Seed Oil,Phospholipids,Carbomer]","[Redness Reducing,Anti-Aging,Scar Healing,Brightening,May Worsen Oily Skin,Acne Trigger,Irritating]"
Bobbi Brown,Hydrating Water Fresh Cream,General Moisturizer,,"[Water,Glycerin,Butyrospermum Parkii Oil,Caprylic/Capric/Myristic/Stearic Triglyceride,Butylene Glycol,Neopentyl Glycol Diheptanoate,Algae Extract,Tocopheryl Acetate,Sodium Hyaluronate,Helianthus Annuus Seedcake,Glycine Soja Seed Extract,Citrullus Lanatus Fruit Extract,Salvia Sclarea Extract,Lens Esculenta Fruit Extract,Pyrus Malus Fruit Extract,Hordeum Vulgare Extract,Camellia Japonica Flower Extract,Lactobacillus Ferment,Propylene Glycol Dicaprate,Polyacrylate Crosspolymer-6,Sorbitol,Sodium Polyaspartate,Lecithin,Trehalose,Coco-Caprylate/Caprate,Rosmarinus Officinalis Leaf Water,Sodium Lactate,Cucumis Sativus Fruit Extract,T-Butyl Alcohol,Sodium PCA,Hydroxyethyl Urea,C9-12 Alkane,Sodium Acrylates Copolymer,Propanediol,Citric Acid,Disodium EDTA,Potassium Sorbate,Sodium Benzoate,Chlorphenesin,Phenoxyethanol]","[Hydrating,Reduces Large Pores,Brightening,Drying,Irritating]"
Ryor,Konopný Výživný Krém S Kmenovými Buňkami,General Moisturizer,Czech Republic,"[Water,Prunus Amygdalus Dulcis Oil,Butyrospermum Parkii Butter,Oleyl Erucate,Glycerin,Hydrogenated Polyisobutene,Dimethicone,Cetearyl Alcohol,Glyceryl Stearate,Cetyl Alcohol,Argania Spinosa Kernel Oil,Tocopheryl Acetate,Persea Gratissima Oil,Laminaria Ochroleuca Extract,Caprylic/Capric Triglyceride,Cannabidiol - Synthetically Produced,Sodium Hyaluronate,Symphytum Officinale Callus Culture Extract,Tocopherol,Lecithin,Isomalt,Sucrose Stearate,Sucrose Tristearate,Hydrogenated Argania Spinosa Kernel Oil,Sodium Caproyl Prolinate,Phenoxyethanol,Glyceryl Laurate,Sodium Acrylates Copolymer,Polymethylsilsesquioxane,Sodium Benzoate,Lactic Acid]","[Hydrating,Reduces Irritation,Anti-Aging,Scar Healing,Brightening,Acne Trigger,Irritating,Rosacea,Eczema]"
SVR,Sensifine Nutri-Baume Rich Balm for Hypersensitive Skin,General Moisturizer,France,"[Water,Butyrospermum Parkii Butter,Squalane,Behenyl Alcohol,Beheneth-25,1,2-Hexanediol,Panthenol,Caprylyl Glycol,Citric Acid,Sodium Polyacrylate]","[Reduces Irritation,Reduces Large Pores,Drying,Irritating]"
The Body Shop,Seaweed Oil-Control Gel Cream,General Moisturizer,United Kingdom,"[Water,Isododecane,Glycerin,Tapioca Starch,Hydrogenated Tetradecenyl/Methylpentadecene,Polymethyl Methacrylate,Dimethicone,Phenoxyethanol,Polysorbate 60,Caprylyl Glycol,Carbomer,Tocopheryl Acetate,Glyceryl Stearate,Peg-100 Stearate,Cetearyl Alcohol,Propylene Glycol,Butylene Glycol,Sesamum Indicum Seed Oil,Glycine Soja Oil,Fucus Vesiculosus Extract,Sodium Hydroxide,Parfum,Disodium EDTA,Pentylene Glycol,Polymethylsilsesquioxane,Zinc Gluconate,Acacia Senegal Gum,Linalool,Algae Extract,Hydrolyzed Wheat Protein,Xanthan Gum,Propylene Glycol Alginate,Benzyl Salicylate,Benzyl Alcohol,Hydrolyzed Algin,Serine,Sodium Stearate,Zinc Sulfate,Citric Acid]","[Hydrating,Brightening,Acne Trigger]"
The Saem,Jeju Fresh Aloe Cream 89%,General Moisturizer,South Korea,"[Aloe Barbadensis Leaf Extract,Dipropylene Glycol,Glycerin,Butylene Glycol,Ammonium Acryloyldimethyltaurate/Vp Copolymer,Carbomer,Dimethicone,Polyglyceryl-10 Laurate,Polyglyceryl-10 Myristate,Styrene/Vp Copolymer,Polysilicone-11,Disodium EDTA,Caprylyl Glycol,Decyl Glucoside,Citrus Nobilis Fruit Extract,Camellia Sinensis Leaf Extract,Angelica Keiskei Extract,Houttuynia Cordata Extract,Propanediol,Brassica Oleracea Italica Extract,Portulaca Oleracea Extract,Achillea Millefolium Extract,Alchemilla Vulgaris Leaf Extract,Malva Sylvestris Extract,Mentha Piperita Leaf Extract,Melissa Officinalis Leaf Extract,Primula Veris Extract,Veronica Officinalis Extract,Sodium Hydroxide,Potassium Hydroxide,Ethylhexylglycerin,Water,Alcohol,Phenoxyethanol,Chlorphenesin,Parfum]",[Rosacea]
Garnier,SkinActive Moisture Rescue Face Moisturizer,General Moisturizer,France,"[Water,Glycerin,Alcohol Denat.,Dimethicone,Isononyl Isononanoate,Carbomer,Dimethiconol,Chlorphenesin,Caprylyl Glycol,Sodium Hydroxide,Vitis Vinifera Seed Extract,Xanthan Gum,Tetrasodium EDTA,Tocopheryl Acetate,Ascorbyl Glucoside,Menthoxypropanediol,Glycine,Sodium Citrate,Benzyl Salicylate,Linalool,Calcium Gluconate,Biosaccharide Gum-1,Hydroxyisohexyl 3-Cyclohexene Carboxaldehyde,Butylphenyl Methylpropional,Ci 19140,Ci 42090,Parfum,Phenoxyethanol]","[Redness Reducing,Skin Texture,Anti-Aging,Dark Spots,Brightening]"
Plum Goodness,Green Tea Oil-Free Moisturizer,General Moisturizer,India,"[Water,Aloe Barbadensis Leaf Juice,Betaine,Isodecyl Neopentanoate,Niacinamide,Salix Alba Bark Extract,Camellia Sinensis Leaf Extract,Terminalia Ferdinandiana Fruit Extract,Sodium Hyaluronate,Benzyl Alcohol,Hydroxyacetophenone,Caprylyl Glycol,Glycerin,Sodium Polyacryloyldimethyl Taurate,Squalane,Cyclodextrin,Glyceryl Stearate,Peg-100 Stearate,Sorbitol,Sodium Gluconate]","[Good For Oily Skin,Redness Reducing,Acne Fighting,Brightening]"
Neutrogena,Clear & Defend Oil-Free Moisturiser,General Moisturizer,United States,"[Water,Glycerin,Propylene Glycol,Cetyl Alcohol,C12-15 Alkyl Benzoate,Stearyl Alcohol,Glyceryl Stearate,Peg-100 Stearate,C12-15 Alkyl Lactate,Aloe Barbadensis Leaf Extract,Chamomilla Recutita Extract,Cetyl Lactate,Cocamidopropyl Pg-Dimonium Chloride Phosphate,Salicylic Acid,Menthyl Lactate,Dimethicone,Cyclohexasiloxane,Cyclopentasiloxane,Sodium Isostearoyl Lactylate,Propylene Glycol Isostearate,Palmitic Acid,Stearic Acid,Carbomer,Acrylates/C10-30 Alkyl Acrylate Crosspolymer,Sodium Chloride,Disodium EDTA,Sodium Hydroxide,Benzalkonium Chloride,Methylparaben,Propylparaben,Ethylparaben,Phenoxyethanol,Parfum,Benzyl Alcohol]","[Good For Oily Skin,Reduces Irritation,Reduces Large Pores,Acne Fighting,Brightening,Drying,May Worsen Oily Skin,Acne Trigger,Irritating,Eczema]"
The Agency,Cloud Care Weightless Whipped Moisturizer,General Moisturizer,United States,"[Water,Glycerin,Ethylhexyl Salicylate,Hydrogenated Polyisobutene,Dimethicone,Butyrospermum Parkii Butter,Butylene Glycol,Propanediol,Cetearyl Alcohol,Niacinamide,Sodium Hyaluronate,Ceramide NP,Ceramide AP,Ceramide EOP,Panthenol,Avena Sativa Kernel Flour,Phytosphingosine,Cholesterol,Sodium Lauroyl Lactylate,Acrylates/C10-30 Alkyl Acrylate Crosspolymer,Hydrogenated Lecithin,Xanthan Gum,Tocopherol,Carbomer,Benzyl Alcohol,Sodium Hydroxide]","[Good For Oily Skin,Redness Reducing,Reduces Irritation,Anti-Aging,Scar Healing,Acne Fighting,Brightening,Acne Trigger,Irritating,Rosacea]"
Jenpharm,Dermive Oil Free,General Moisturizer,Pakistan,"[Water,Glycerin,Glyceryl Stearate,Caprylic Acid,Ceramide Ns,Stearic Acid,Ceteareth-29,Propylene Glycol,Ceramide AP,Hyaluronic Acid,Tocopheryl Acetate,Aloe Barbadensis Leaf Juice,Titanium Dioxide,Phenoxyethanol,Caprylyl Glycol,Ethylhexyl Methoxycinnamate,Carbomer,Cyclomethicone,C12-15 Alkyl Benzoate,Triethanolamine,Disodium EDTA]","[Good For Oily Skin,Redness Reducing,Skin Texture,Anti-Aging,Scar Healing,Brightening,May Worsen Oily Skin,Irritating]"
Bioderma,Sébium Hydra,General Moisturizer,France,"[Water,Glycerin,Paraffinum Liquidum,Ethylhexyl Palmitate,Dipropylene Glycol,Xylitol,Bis-Peg/Ppg-16/16 Peg/Ppg-16/16 Dimethicone,Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer,Mannitol,Rhamnose,Fructooligosaccharides,Laminaria Ochroleuca Extract,Glycyrrhetinic Acid,Allantoin,Ceramide 3,Tocopheryl Acetate,Isohexadecane,Caprylic/Capric Triglyceride,Polysorbate 80,Disodium EDTA,Cetrimonium Bromide,Ginkgo Biloba Leaf Extract,Dodecyl Gallate,Propylene Glycol,Parfum]","[Redness Reducing,Reduces Irritation,Anti-Aging,Brightening,May Worsen Oily Skin,Acne Trigger]"
IVY AÏA,Face Cream,General Moisturizer,Denmark,"[Water,Coco-Caprylate/Caprate,C13-15 Alkane,Propanediol,Cetyl Alcohol,Glycerin,Cetearyl Glucoside,Sorbitan Olivate,Betaine,Glyceryl Stearate,Oryza Sativa Bran Oil,Tocopheryl Acetate,Butyrospermum Parkii Butter,Phenoxyethanol,Cetearyl Alcohol,Xanthan Gum,Ethylhexylglycerin,Yeast Extract,Sodium Hyaluronate,Sodium Phytate,Leuconostoc/Radish Root Ferment Filtrate,Lactic Acid,Citric Acid]","[Brightening,Acne Trigger,Rosacea,Eczema]"
MediCube,Zero Pore One-Day Cream,General Moisturizer,United States,"[Water,Panthenol,Butylene Glycol,Propanediol,Cetyl Ethylhexanoate,Octyldodecanol,Niacinamide,Isohexadecane,Isododecane,Glyceryl Stearate,Polyglyceryl-3 Distearate,1,2-Hexanediol,Hydrogenated Polydecene,Dimethicone,Cyclopentasiloxane,Cetearyl Olivate,Sorbitan Olivate,Stearyl Alcohol,Dimethyl Sulfone,Cetyl Alcohol,Polyacrylate-13,Sodium Polyacryloyldimethyl Taurate,Sodium Stearoyl Glutamate,Hydrogenated Polyisobutene,Glyceryl Stearate Citrate,Salicylic Acid,Ethylhexylglycerin,Allantoin,Polyglyceryl-10 Laurate,Ethylhexyl Palmitate,Adenosine,Dextrin,Sorbitan Isostearate,Tromethamine,Beta-Glucan,Sodium Hyaluronate,Glycerin,Sodium Citrate,Gardenia Florida Fruit Extract,Myristyl Alcohol,Trisodium Phosphate,Hyaluronic Acid,Pullulan,Lauryl Alcohol,Vitis Vinifera Fruit Extract,Ulmus Davidiana Root Extract,Pueraria Lobata Root Extract,Pinus Palustris Leaf Extract,Oenothera Biennis Flower Extract,Diospyros Kaki Fruit Extract,Castanea Crenata Shell Extract,Camellia Sinensis Leaf Extract,Sodium Hyaluronate Crosspolymer,Hydrolyzed Sodium Hyaluronate,Hydrolyzed Hyaluronic Acid,Palmitoyl Tripeptide-5,Sodium Acetylated Hyaluronate,Hydroxypropyltrimonium Hyaluronate,Hydroxycinnamic Acid,Rutin,Parfum]","[Good For Oily Skin,Redness Reducing,Reduces Irritation,Skin Texture,Reduces Large Pores,Anti-Aging,Scar Healing,Acne Fighting,Brightening,Drying,Acne Trigger,Irritating,Eczema]"
